name,disease_target,composition,suitable_for,price,effectiveness_score,availability
Actifed,Common Cold,"[{'ingredient': 'Triprolidine', 'mg': 2.5, 'percentage': 4.0}, {'ingredient': 'Pseudoephedrine', 'mg': 60, 'percentage': 96.0}]","['Child', 'Adult', 'Senior']",126.07,0.5514,True
Quetiapine,Schizophrenia,"[{'ingredient': 'Quetiapine Fumarate', 'mg': 155, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",544.91,0.9307,True
N-Acetylcysteine OD,COPD,"[{'ingredient': 'N-Acetylcysteine', 'mg': 530, 'percentage': 100.0}]",['Child'],2175.02,0.6984,True
Risperidone XR,Schizophrenia,"[{'ingredient': 'Risperidone', 'mg': 0.698, 'percentage': 100.0}]",['Adult'],1534.73,0.7475,True
Nitroglycerine XR,Angina,"[{'ingredient': 'Glyceryl Trinitrate', 'mg': 0.597, 'percentage': 100.0}]",['Child'],348.77,0.9437,True
Amlodipine,Hypertension,"[{'ingredient': 'Amlodipine', 'mg': 7.0, 'percentage': 100.0}]","['Adult', 'Senior']",225.06,0.9109,True
Orlistat,Obesity,"[{'ingredient': 'Orlistat', 'mg': 65, 'percentage': 100.0}]",['Senior'],864.16,0.6767,True
Doxepin 250mg,Insomnia,"[{'ingredient': 'Doxepin HCl', 'mg': 5.5, 'percentage': 100.0}]","['Adult', 'Senior']",330.1,0.8497,True
Adalimumab OD,Crohn's Disease,"[{'ingredient': 'Adalimumab', 'mg': 46, 'percentage': 100.0}]",['Adult'],3780.23,0.6226,True
Probenecid,Gout,"[{'ingredient': 'Probenecid', 'mg': 515, 'percentage': 100.0}]",['Adult'],400.76,0.7538,True
Ondansetron,Gastroenteritis,"[{'ingredient': 'Ondansetron HCl', 'mg': 7.5, 'percentage': 100.0}]","['Child', 'Adult']",42.26,0.544,True
Misoprostol Forte,Gastritis,"[{'ingredient': 'Misoprostol', 'mg': 0.104, 'percentage': 100.0}]","['Adult', 'Senior']",72.04,0.7673,True
Rosuvastatin,Hyperlipidemia,"[{'ingredient': 'Rosuvastatin Calcium', 'mg': 6.5, 'percentage': 100.0}]",['Child'],2301.64,0.5184,True
Ofloxacin Eye,Conjunctivitis,"[{'ingredient': 'Ofloxacin', 'mg': 3.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",186.63,0.9088,True
Memantine,Alzheimer's Disease,"[{'ingredient': 'Memantine HCl', 'mg': 12.5, 'percentage': 100.0}]","['Adult', 'Senior']",7888.49,0.8723,True
Letrozole Forte,Polycystic Ovary Syndrome,"[{'ingredient': 'Letrozole', 'mg': 3.5, 'percentage': 100.0}]","['Child', 'Adult']",294.11,0.8703,True
Metoclopramide 250mg,Chemotherapy Nausea,"[{'ingredient': 'Metoclopramide HCl', 'mg': 25, 'percentage': 100.0}]",['Child'],1419.84,0.5206,True
Flucold,Seasonal Flu,"[{'ingredient': 'Paracetamol', 'mg': 530, 'percentage': 99.1}, {'ingredient': 'Phenylephrine', 'mg': 5.0, 'percentage': 0.9}]","['Child', 'Adult', 'Senior']",132.68,0.942,True
Januvia 250mg,Type 2 Diabetes,"[{'ingredient': 'Sitagliptin', 'mg': 41, 'percentage': 100.0}]","['Adult', 'Senior']",962.75,0.7046,True
Ketoconazole,Fungal Infection,"[{'ingredient': 'Ketoconazole', 'mg': 200, 'percentage': 100.0}]","['Child', 'Adult']",232.66,0.9224,True
Etanercept OD,Arthritis,"[{'ingredient': 'Etanercept', 'mg': 41, 'percentage': 100.0}]",['Senior'],1410.07,0.9172,True
Olanzapine,Schizophrenia,"[{'ingredient': 'Olanzapine', 'mg': 5.5, 'percentage': 100.0}]","['Adult', 'Senior']",1268.35,0.94,True
Dutasteride Generic,Benign Prostatic Hyperplasia,"[{'ingredient': 'Dutasteride', 'mg': 0.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",83.01,0.905,True
Aprepitant,Chemotherapy Nausea,"[{'ingredient': 'Aprepitant', 'mg': 94, 'percentage': 100.0}]",['Child'],1170.54,0.8685,True
Lisinopril Plus,Hypertension,"[{'ingredient': 'Lisinopril', 'mg': 29, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",118.81,0.8665,False
Atenolol,Hypertension,"[{'ingredient': 'Atenolol', 'mg': 72, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",153.4,0.8146,True
Furosemide CR,Heart Failure,"[{'ingredient': 'Furosemide', 'mg': 78, 'percentage': 100.0}]","['Child', 'Adult']",678.76,0.8919,True
Tramadol SR,Lower Back Pain,"[{'ingredient': 'Tramadol HCl', 'mg': 58, 'percentage': 100.0}]","['Adult', 'Senior']",558.96,0.5277,True
Buspirone Forte,Anxiety Disorder,"[{'ingredient': 'Buspirone HCl', 'mg': 28, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",634.57,0.6916,True
Milnacipran 250mg,Fibromyalgia,"[{'ingredient': 'Milnacipran HCl', 'mg': 59, 'percentage': 100.0}]","['Adult', 'Senior']",564.62,0.7376,True
Amitriptyline 1000mg,Major Depressive Disorder,"[{'ingredient': 'Amitriptyline HCl', 'mg': 82, 'percentage': 100.0}]","['Adult', 'Senior']",408.68,0.5448,True
Benzoyl Peroxide,Acne Vulgaris,"[{'ingredient': 'Benzoyl Peroxide', 'mg': 38, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",510.34,0.6173,True
Ivabradine,Angina,"[{'ingredient': 'Ivabradine HCl', 'mg': 5.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",345.06,0.6329,True
Celecoxib OD,Chronic Pain,"[{'ingredient': 'Celecoxib', 'mg': 310, 'percentage': 100.0}]","['Adult', 'Senior']",119.46,0.5894,True
Sertraline 1000mg,PTSD,"[{'ingredient': 'Sertraline HCl', 'mg': 62, 'percentage': 100.0}]","['Adult', 'Senior']",549.11,0.6419,True
Paraflu OD,Seasonal Flu,"[{'ingredient': 'Paracetamol', 'mg': 450, 'percentage': 99.2}, {'ingredient': 'Chlorpheniramine', 'mg': 3.5, 'percentage': 0.8}]",['Child'],98.73,0.7111,True
Actifed OD,Common Cold,"[{'ingredient': 'Triprolidine', 'mg': 2.5, 'percentage': 4.0}, {'ingredient': 'Pseudoephedrine', 'mg': 60, 'percentage': 96.0}]","['Child', 'Adult', 'Senior']",85.52,0.911,False
Roflumilast Generic,COPD,"[{'ingredient': 'Roflumilast', 'mg': 415, 'percentage': 100.0}]",['Child'],1388.88,0.9642,True
Semaglutide,Obesity,"[{'ingredient': 'Semaglutide', 'mg': 1.5, 'percentage': 100.0}]",['Adult'],1082.2,0.7426,True
Domperidone 250mg,GERD,"[{'ingredient': 'Domperidone', 'mg': 16.0, 'percentage': 100.0}]",['Senior'],352.14,0.6411,True
Prazosin,PTSD,"[{'ingredient': 'Prazosin HCl', 'mg': 3.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",128.94,0.571,True
Januvia,Type 2 Diabetes,"[{'ingredient': 'Sitagliptin', 'mg': 43, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",702.74,0.9577,True
Adalimumab Generic,Psoriasis,"[{'ingredient': 'Adalimumab', 'mg': 62, 'percentage': 100.0}]",['Adult'],13448.04,0.724,True
Clonazepam,Epilepsy,"[{'ingredient': 'Clonazepam', 'mg': 1.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",808.38,0.7028,True
Acetazolamide Plus,Glaucoma,"[{'ingredient': 'Acetazolamide', 'mg': 425, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",756.49,0.5043,True
Azithromycin,Bronchitis,"[{'ingredient': 'Azithromycin Dihydrate', 'mg': 345, 'percentage': 100.0}]","['Adult', 'Senior']",150.17,0.8685,True
Scopolamine,Vertigo,"[{'ingredient': 'Scopolamine', 'mg': 1.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",241.85,0.8605,True
Darbepoetin,Chronic Kidney Disease,"[{'ingredient': 'Darbepoetin Alfa', 'mg': 145, 'percentage': 100.0}]",['Adult'],3540.81,0.7111,True
Ear Drops,Otitis Media,"[{'ingredient': 'Ciprofloxacin', 'mg': 3.0, 'percentage': 75.0}, {'ingredient': 'Dexamethasone', 'mg': 1.0, 'percentage': 25.0}]","['Child', 'Adult', 'Senior']",227.24,0.8042,True
Glimepride,Type 2 Diabetes,"[{'ingredient': 'Glimepiride', 'mg': 2.0, 'percentage': 100.0}]",['Adult'],199.59,0.884,True
Venlafaxine,Anxiety Disorder,"[{'ingredient': 'Venlafaxine HCl', 'mg': 105, 'percentage': 100.0}]","['Adult', 'Senior']",575.73,0.6135,True
Brimonidine,Glaucoma,"[{'ingredient': 'Brimonidine Tartrate', 'mg': 1.5, 'percentage': 100.0}]",['Senior'],660.59,0.6014,True
Quetiapine,Bipolar Disorder,"[{'ingredient': 'Quetiapine Fumarate', 'mg': 580, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",323.92,0.8544,False
Trimethoprim,Urinary Tract Infection,"[{'ingredient': 'Trimethoprim', 'mg': 170, 'percentage': 100.0}]","['Adult', 'Senior']",127.2,0.9147,True
Itraconazole SR,Fungal Infection,"[{'ingredient': 'Itraconazole', 'mg': 130, 'percentage': 100.0}]","['Child', 'Adult']",365.34,0.9132,True
Benzoyl Peroxide 500mg,Acne Vulgaris,"[{'ingredient': 'Benzoyl Peroxide', 'mg': 33, 'percentage': 100.0}]",['Senior'],284.25,0.5792,True
Probiotics 1000mg,Gastroenteritis,"[{'ingredient': 'Lactobacillus acidophilus', 'mg': 5.0, 'percentage': 100.0}]","['Child', 'Adult']",123.47,0.6988,True
Amphetamine CR,ADHD,"[{'ingredient': 'Mixed Amphetamine Salts', 'mg': 6.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",795.42,0.8488,False
Simvastatin CR,Hyperlipidemia,"[{'ingredient': 'Simvastatin', 'mg': 49, 'percentage': 100.0}]","['Adult', 'Senior']",579.92,0.6646,True
Amlodipine,Angina,"[{'ingredient': 'Amlodipine Besylate', 'mg': 6.0, 'percentage': 100.0}]",['Child'],429.95,0.927,True
Sotalol XR,Arrhythmia,"[{'ingredient': 'Sotalol HCl', 'mg': 73, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1491.24,0.7274,True
Alendronate,Osteoporosis,"[{'ingredient': 'Alendronate Sodium', 'mg': 15.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2428.9,0.7067,True
Sulfasalazine,Arthritis,"[{'ingredient': 'Sulfasalazine', 'mg': 585, 'percentage': 100.0}]","['Adult', 'Senior']",1330.25,0.5667,True
Evolocumab,Hyperlipidemia,"[{'ingredient': 'Evolocumab', 'mg': 315, 'percentage': 100.0}]",['Senior'],1571.48,0.6468,True
Bismuth Plus,Peptic Ulcer,"[{'ingredient': 'Bismuth Subcitrate', 'mg': 120, 'percentage': 100.0}]",['Adult'],293.61,0.5885,False
Acetazolamide OD,Glaucoma,"[{'ingredient': 'Acetazolamide', 'mg': 130, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",860.14,0.8791,True
Ciprofloxacin Eye,Conjunctivitis,"[{'ingredient': 'Ciprofloxacin HCl', 'mg': 3.0, 'percentage': 100.0}]","['Adult', 'Senior']",76.37,0.7959,True
D-Cold OD,Seasonal Flu,"[{'ingredient': 'Paracetamol', 'mg': 435, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",141.55,0.9651,True
Amlodipine,Hypertension,"[{'ingredient': 'Amlodipine', 'mg': 10.0, 'percentage': 100.0}]",['Child'],745.5,0.5101,True
Norethisterone,Endometriosis,"[{'ingredient': 'Norethisterone', 'mg': 13.0, 'percentage': 100.0}]","['Adult', 'Senior']",433.89,0.8423,True
Diltiazem,Angina,"[{'ingredient': 'Diltiazem HCl', 'mg': 170, 'percentage': 100.0}]",['Child'],286.82,0.57,True
Sacubitril,Heart Failure,"[{'ingredient': 'Sacubitril', 'mg': 58, 'percentage': 62.4}, {'ingredient': 'Valsartan', 'mg': 35, 'percentage': 37.6}]","['Child', 'Adult']",1555.32,0.8368,True
Lubiprostone,Irritable Bowel Syndrome,"[{'ingredient': 'Lubiprostone', 'mg': 14.5, 'percentage': 100.0}]","['Child', 'Adult']",363.36,0.6263,True
Naratriptan,Migraine,"[{'ingredient': 'Naratriptan HCl', 'mg': 2.0, 'percentage': 100.0}]","['Child', 'Adult']",533.96,0.5245,True
Gabapentin,Cancer Pain Management,"[{'ingredient': 'Gabapentin', 'mg': 900, 'percentage': 100.0}]","['Child', 'Adult']",1966.77,0.5098,True
Misoprostol,Gastritis,"[{'ingredient': 'Misoprostol', 'mg': 0.158, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",238.54,0.7458,True
Meropenem Forte,Pneumonia,"[{'ingredient': 'Meropenem', 'mg': 765, 'percentage': 100.0}]",['Senior'],1877.01,0.9242,True
Finasteride,Benign Prostatic Hyperplasia,"[{'ingredient': 'Finasteride', 'mg': 4.0, 'percentage': 100.0}]",['Adult'],489.54,0.9458,True
Interferon Beta,Multiple Sclerosis,"[{'ingredient': 'Interferon Beta-1a', 'mg': 27, 'percentage': 100.0}]",['Adult'],8903.77,0.5374,True
Valproate,Bipolar Disorder,"[{'ingredient': 'Sodium Valproate', 'mg': 655, 'percentage': 100.0}]","['Adult', 'Senior']",826.22,0.7482,True
Rosuvastatin SR,Hyperlipidemia,"[{'ingredient': 'Rosuvastatin Calcium', 'mg': 21, 'percentage': 100.0}]","['Adult', 'Senior']",1830.27,0.6291,True
Clonazepam,Anxiety Disorder,"[{'ingredient': 'Clonazepam', 'mg': 2.0, 'percentage': 100.0}]","['Child', 'Adult']",441.02,0.7488,True
Actifed SR,Common Cold,"[{'ingredient': 'Triprolidine', 'mg': 2.5, 'percentage': 4.0}, {'ingredient': 'Pseudoephedrine', 'mg': 60, 'percentage': 96.0}]",['Adult'],121.61,0.8029,False
Pimecrolimus CR,Eczema,"[{'ingredient': 'Pimecrolimus', 'mg': 10.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2196.06,0.6045,True
Agomelatine,Major Depressive Disorder,"[{'ingredient': 'Agomelatine', 'mg': 32, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",600.51,0.5417,True
Fingolimod,Multiple Sclerosis,"[{'ingredient': 'Fingolimod HCl', 'mg': 0.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",5571.08,0.5364,True
Diltiazem,Angina,"[{'ingredient': 'Diltiazem HCl', 'mg': 61, 'percentage': 100.0}]","['Adult', 'Senior']",90.62,0.8619,True
Ciprofloxacin,Urinary Tract Infection,"[{'ingredient': 'Ciprofloxacin HCl', 'mg': 290, 'percentage': 100.0}]","['Child', 'Adult']",65.4,0.7409,True
Propafenone,Arrhythmia,"[{'ingredient': 'Propafenone HCl', 'mg': 210, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",589.51,0.8788,True
Augmentin,Otitis Media,"[{'ingredient': 'Amoxicillin', 'mg': 865, 'percentage': 91.6}, {'ingredient': 'Clavulanic Acid', 'mg': 79, 'percentage': 8.4}]",['Child'],240.07,0.6285,True
Losartan,Hypertension,"[{'ingredient': 'Losartan', 'mg': 96, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",172.26,0.9217,True
Calcium Acetate 1000mg,Chronic Kidney Disease,"[{'ingredient': 'Calcium Acetate', 'mg': 765, 'percentage': 100.0}]",['Child'],4481.9,0.7881,False
Betamethasone OD,Eczema,"[{'ingredient': 'Betamethasone Valerate', 'mg': 1.5, 'percentage': 100.0}]","['Adult', 'Senior']",1444.1,0.8482,True
Sinarest OD,Seasonal Flu,"[{'ingredient': 'Paracetamol', 'mg': 500, 'percentage': 97.1}, {'ingredient': 'Cetirizine', 'mg': 9.5, 'percentage': 1.8}, {'ingredient': 'Phenylephrine', 'mg': 5.5, 'percentage': 1.1}]","['Child', 'Adult', 'Senior']",156.12,0.7907,True
Phentermine,Obesity,"[{'ingredient': 'Phentermine HCl', 'mg': 34, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",478.46,0.8771,True
Bimatoprost CR,Glaucoma,"[{'ingredient': 'Bimatoprost', 'mg': 0.03, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",913.8,0.7592,True
Betahistine,Vertigo,"[{'ingredient': 'Betahistine Dihydrochloride', 'mg': 11.5, 'percentage': 100.0}]","['Adult', 'Senior']",97.17,0.7026,False
Alendronate,Osteoporosis,"[{'ingredient': 'Alendronate Sodium', 'mg': 55, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",512.98,0.7526,True
Simvastatin Generic,Hyperlipidemia,"[{'ingredient': 'Simvastatin', 'mg': 45, 'percentage': 100.0}]","['Adult', 'Senior']",2120.24,0.9407,False
Rivastigmine OD,Alzheimer's Disease,"[{'ingredient': 'Rivastigmine Tartrate', 'mg': 1.5, 'percentage': 100.0}]",['Child'],3457.4,0.8806,True
Venlafaxine,Anxiety Disorder,"[{'ingredient': 'Venlafaxine HCl', 'mg': 180, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",570.78,0.7298,True
Valproate Plus,Epilepsy,"[{'ingredient': 'Sodium Valproate', 'mg': 210, 'percentage': 100.0}]","['Adult', 'Senior']",1019.88,0.8055,True
Doxycycline,Acne Vulgaris,"[{'ingredient': 'Doxycycline Hyclate', 'mg': 80, 'percentage': 100.0}]","['Adult', 'Senior']",383.65,0.9091,True
Budesonide Nasal 1000mg,Allergic Rhinitis,"[{'ingredient': 'Budesonide', 'mg': 230, 'percentage': 100.0}]","['Adult', 'Senior']",94.51,0.9149,False
Jardiance CR,Type 2 Diabetes,"[{'ingredient': 'Empagliflozin', 'mg': 23, 'percentage': 100.0}]","['Adult', 'Senior']",751.38,0.7176,True
Methylphenidate 250mg,ADHD,"[{'ingredient': 'Methylphenidate HCl', 'mg': 51, 'percentage': 100.0}]",['Adult'],744.67,0.7657,True
Duloxetine,Neuropathic Pain,"[{'ingredient': 'Duloxetine HCl', 'mg': 52, 'percentage': 100.0}]",['Child'],1035.85,0.9032,True
Isoniazid,Tuberculosis,"[{'ingredient': 'Isoniazid', 'mg': 245, 'percentage': 100.0}]",['Senior'],486.33,0.8268,True
Ranolazine OD,Angina,"[{'ingredient': 'Ranolazine', 'mg': 910, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",388.28,0.9508,True
Donepezil OD,Alzheimer's Disease,"[{'ingredient': 'Donepezil HCl', 'mg': 6.0, 'percentage': 100.0}]",['Child'],2080.77,0.675,True
Sertraline Forte,PTSD,"[{'ingredient': 'Sertraline HCl', 'mg': 150, 'percentage': 100.0}]",['Senior'],212.51,0.918,True
Paraflu Forte,Seasonal Flu,"[{'ingredient': 'Paracetamol', 'mg': 505, 'percentage': 99.4}, {'ingredient': 'Chlorpheniramine', 'mg': 3.0, 'percentage': 0.6}]","['Adult', 'Senior']",161.01,0.6788,True
Levofloxacin Plus,Pneumonia,"[{'ingredient': 'Levofloxacin', 'mg': 740, 'percentage': 100.0}]","['Adult', 'Senior']",337.27,0.6086,True
Alendronate SR,Osteoporosis,"[{'ingredient': 'Alendronate Sodium', 'mg': 37, 'percentage': 100.0}]",['Child'],1864.61,0.7348,True
Grilinctus,Seasonal Flu,"[{'ingredient': 'Bromhexine', 'mg': 5.0, 'percentage': 6.0}, {'ingredient': 'Guaifenesin', 'mg': 79, 'percentage': 94.0}]","['Adult', 'Senior']",90.68,0.9687,False
Cephalexin XR,Urinary Tract Infection,"[{'ingredient': 'Cephalexin', 'mg': 400, 'percentage': 100.0}]",['Senior'],183.83,0.8011,True
